Il,Ilce,Latitude,Longitude
Balıkesir,Gönen / Balıkesir,40.1116962,27.6434844
Balıkesir,Havran,39.55779,27.100236
Balıkesir,İvrindi,39.582007,27.485384
Balıkesir,Kepsut,39.6903999,28.152446
Balıkesir,Manyas,40.04740899999999,27.969529
Balıkesir,Savaştepe,39.38342400000001,27.6539
Balıkesir,Sındırgı,39.23884899999999,28.174979
Balıkesir,Susurluk,39.91391,28.156902
Balıkesir,Marmara,40.627782,27.6200138
Balıkesir,Gömeç,39.3909329,26.83996
Balıkesir,Altıeylül,39.5559032,27.8780275
Balıkesir,Karesi,39.7848385,27.8780275
Bilecik,Bilecik Merkez,40.1335256,29.9277947
Bilecik,Bozüyük,39.906058,30.039825
Bilecik,Gölpazarı,40.283617,30.315302
Bilecik,Osmaneli,40.3584,30.0134
Bilecik,Pazaryeri,39.995528,29.903447
Bilecik,Söğüt,40.0150999,30.1834
Bilecik,Yenipazar / Bilecik,40.2103964,30.5048792
Bilecik,İnhisar,40.04910599999999,30.385625
Bingöl,Bingöl Merkez,38.9667329,40.4544488
Bingöl,Genç,38.748405,40.553932
Bingöl,Karlıova,39.297996,41.014368
Bingöl,Kiğı,39.310059,40.349048
Bingöl,Solhan,38.967912,41.053772
Bingöl,Adaklı,39.2537081,40.5879039
Bingöl,Yayladere,39.227956,40.069078
Bingöl,Yedisu,39.433943,40.54529100000001
Bitlis,Adilcevaz,38.804925,42.736511
Bitlis,Ahlat,38.755285,42.487073
Bitlis,Bitlis Merkez,38.2904631,42.1216969
Bitlis,Hizan,38.225522,42.428113
Bitlis,Mutki,38.408588,41.92232
Bitlis,Tatvan,38.501998,42.281276
Bitlis,Güroymak,38.576434,42.02062
Bolu,Bolu Merkez,40.7652553,31.6880087
Bolu,Gerede,40.800325,32.193323
Bolu,Göynük,40.403205,30.78565
Bolu,Kıbrıscık,40.42382,31.954189
Bolu,Mengen,40.939139,32.073868
Bolu,Mudurnu,40.462581,31.211936
Bolu,Seben,40.411159,31.569864
Bolu,Dörtdivan,40.720766,32.062477
Bolu,Yeniçağa,40.771323,32.02994
Burdur,Ağlasun,37.649367,30.534
Burdur,Bucak,37.456548,30.589834
Burdur,Burdur Merkez,37.6165676,30.2051096
Burdur,Gölhisar,37.140808,29.507458
Burdur,Tefenni,37.3095,29.774715
Burdur,Yeşilova,37.506858,29.752902
Burdur,Karamanlı,37.372924,29.823857
Burdur,Kemer / Burdur,37.353319,30.061216
Burdur,Altınyayla / Burdur,36.997551,29.544615
Burdur,Çavdır,37.155145,29.689771
Burdur,Çeltikçi,37.5254462,30.45880589999999
Bursa,Gemlik,40.43181999999999,29.155416
Bursa,İnegöl,40.0800822,29.5096969
Bursa,İznik,40.429524,29.719743
Bursa,Karacabey,40.216037,28.359
Bursa,Keles,39.91288600000001,29.235896
Bursa,Mudanya,40.376973,28.883246
Bursa,Mustafakemalpaşa,40.0394409,28.405177
Bursa,Orhaneli,39.9037999,28.9907
Bursa,Orhangazi,40.4398853,29.3018011
Bursa,Yenişehir / Bursa,40.2867349,29.6499162
Bursa,Büyükorhan,39.773188,28.885377
Bursa,Harmancık,39.6634233,29.1158017
Bursa,Nilüfer,40.142458,28.8130675
Bursa,Osmangazi,40.1794309,29.0227159
Bursa,Yıldırım,40.1787113,29.1623231
Bursa,Gürsu,40.217894,29.19372
Bursa,Kestel,40.20095000000001,29.212532
Çanakkale,Ayvacık / Çanakkale,39.603753,26.401857
Çanakkale,Bayramiç,39.809523,26.612047
Çanakkale,Biga,40.226527,27.243625
Çanakkale,Bozcaada,39.8165627,26.0295671
Çanakkale,Çan,40.028167,27.046634
Çanakkale,Çanakkale Merkez,40.14671999999999,26.408587
Çanakkale,Eceabat,40.184286,26.359394
Çanakkale,Ezine,39.787126,26.335866
Çanakkale,Gelibolu,40.4139849,26.669997
Çanakkale,Gökçeada,40.1669236,25.839555
Çanakkale,Lapseki,40.345477,26.6843049
Çanakkale,Yenice / Çanakkale,39.929543,27.259331
Çankırı,Çankırı Merkez,40.51789309999999,33.7600452
Çankırı,Çerkeş,40.8113249,32.891128
Çankırı,Eldivan,40.528982,33.499665
Çankırı,Ilgaz,40.925238,33.627178
Çankırı,Kurşunlu,40.841299,33.26074699999999
Çankırı,Orta,40.625729,33.108365
Çankırı,Şabanözü,40.483164,33.2826639
Çankırı,Yapraklı,40.75705,33.778806
Çankırı,Atkaracalar,40.815512,33.075476
Çankırı,Kızılırmak,40.3759474,33.9624827
Çankırı,Bayramören,40.94300700000001,33.204037
Çankırı,Korgun,40.735881,33.518192
Çorum,Alaca,40.15231970000001,34.8460706
Çorum,Bayat / Çorum,40.64450300000001,34.262862
Çorum,Çorum Merkez,40.54992560000001,34.9537242
Çorum,İskilip,40.730648,34.471011
Çorum,Kargı,41.13453,34.487155
Çorum,Mecitözü,40.5205259,35.295288
Çorum,Ortaköy / Çorum,40.2864795,35.2720934
Çorum,Osmancık,40.96895800000001,34.800122
Çorum,Sungurlu,40.163659,34.375229
Çorum,Boğazkale,40.021565,34.609279
Çorum,Uğurludağ,40.445422,34.451614
Çorum,Dodurga,40.8547509,34.7247154
Çorum,Laçin,40.7918748,34.9074794
Çorum,Oğuzlar,40.75429,34.704836
Denizli,Acıpayam,37.426385,29.351143
Denizli,Buldan,38.044206,28.834598
Denizli,Çal,38.083013,29.397279
Denizli,Çameli,37.0127195,29.2785638
Denizli,Çardak,37.825035,29.668323
Denizli,Çivril,38.30212,29.740258
Denizli,Güney,38.155565,29.0227159
Denizli,Kale / Denizli,37.4513734,28.8130675
Denizli,Sarayköy,37.9211149,28.8829816
Denizli,Tavas,37.573068,29.071329
Denizli,Babadağ,37.810661,28.858782
Denizli,Bekilli,38.230167,29.418785
Denizli,Honaz,37.7697758,29.3714909
Denizli,Serinhisar,37.587955,29.266039
Denizli,Pamukkale,37.8980452,29.1855785
Denizli,Baklan,37.976748,29.606909
Denizli,Beyağaç,37.235995,28.897509
Denizli,Bozkurt / Denizli,37.8485785,29.5803605
Denizli,Merkezefendi,37.8057579,29.0227159
Diyarbakır,Bismil,37.850055,40.668688
Diyarbakır,Çermik,38.135092,39.45611900000001
Diyarbakır,Çınar,37.6684688,40.2722022
Diyarbakır,Çüngüş,38.212324,39.288407
Diyarbakır,Dicle,38.373308,40.075578
Diyarbakır,Ergani,38.268035,39.761729
Diyarbakır,Hani,38.4104488,40.3916002
Diyarbakır,Hazro,38.253757,40.780811
Diyarbakır,Kulp,38.5258521,41.14223339999999
Diyarbakır,Lice,38.4639448,40.6665585
Diyarbakır,Silvan,38.141225,41.012807
Diyarbakır,Eğil,38.257912,40.081152
Diyarbakır,Kocaköy,38.2918189,40.50552
Diyarbakır,Bağlar,37.8436421,39.9767002
Diyarbakır,Kayapınar,37.9562513,39.9241654
Diyarbakır,Sur,38.0597606,40.388604
Diyarbakır,Yenişehir / Diyarbakır,38.06599670000001,40.1496708
Edirne,Edirne Merkez,41.67712969999999,26.5557145
Edirne,Enez,40.725024,26.084574
Edirne,Havsa,41.5488659,26.82151
Edirne,İpsala,40.929232,26.393941
Edirne,Keşan,40.858615,26.630041
Edirne,Lalapaşa,41.839142,26.734625
Edirne,Meriç,41.1879544,26.4429944
Edirne,Uzunköprü,41.266979,26.687679
Edirne,Süloğlu,41.767485,26.911693
Elazığ,Ağın,38.9531951,38.6736662
Elazığ,Baskil,38.567829,38.823716
Elazığ,Elazığ Merkez,38.674816,39.22251500000001
Elazığ,Karakoçan,38.95578,40.035946
Elazığ,Keban,38.7817382,38.7789525
Elazığ,Maden,38.391691,39.667596
Elazığ,Palu,38.6639502,40.0025837
Elazığ,Sivrice,38.4132177,39.1508719
Elazığ,Arıcak,38.56351000000001,40.134626
Elazığ,Kovancılar,38.717915,39.866591
Elazığ,Alacakaya,38.461835,39.861713
Erzincan,Çayırlı,39.804236,40.037093
Erzincan,Erzincan Merkez,39.714788,39.46941169999999
Erzincan,İliç,39.456484,38.564713
Erzincan,Kemah,39.687292,39.0610688
Erzincan,Kemaliye,39.262041,38.496896
Erzincan,Refahiye,39.899583,38.768068
Erzincan,Tercan,39.777631,40.383667
Erzincan,Üzümlü,39.6974078,39.8424199
Erzincan,Otlukbeli,39.9736,40.02209999999999
Erzurum,Aşkale,39.920188,40.694704
Erzurum,Çat,39.6120469,40.97758
Erzurum,Hınıs,39.359643,41.709421
Erzurum,Horasan,40.040049,42.16887699999999
Erzurum,İspir,40.484277,41.000392
Erzurum,Karayazı,39.70276,42.14555499999999
Erzurum,Narman,40.343686,41.870196
Erzurum,Oltu,40.545963,41.995634
Erzurum,Olur,40.827808,42.128556
Erzurum,Pasinler,39.977182,41.6680769
Erzurum,Şenkaya,40.5602097,42.3454207
Erzurum,Tekman,39.645445,41.507381
Erzurum,Tortum,40.3972934,41.4772703
Erzurum,Karaçoban,39.350684,42.11274299999999
Erzurum,Uzundere,40.53279,41.54794100000001
Erzurum,Pazaryolu,40.4143029,40.77365899999999
Erzurum,Aziziye,39.94579,41.105188
Erzurum,Köprüköy,39.973599,41.873118
Erzurum,Palandöken,39.8569642,41.3546972
Erzurum,Yakutiye,40.1020751,41.3343181
Eskişehir,Çifteler,39.382,31.0408
Eskişehir,Mahmudiye,39.49437,30.986353
Eskişehir,Mihalıççık,39.865969,31.495346
Eskişehir,Sarıcakaya,40.037399,30.617602
Eskişehir,Seyitgazi,39.445619,30.693912
Eskişehir,Sivrihisar,39.4513,31.5378
Eskişehir,Alpu,39.8131037,31.03351
Eskişehir,Beylikova,39.689399,31.205772
Eskişehir,İnönü,39.75562000000001,30.1358346
Eskişehir,Günyüzü,39.3842,31.81
Eskişehir,Han,39.1793185,30.8269231
Eskişehir,Mihalgazi,40.026226,30.577051
Eskişehir,Odunpazarı,39.64829719999999,30.5739579
Eskişehir,Tepebaşı,39.873146,30.5739579
Gaziantep,Araban,37.42537,37.689557
Gaziantep,İslahiye,37.0253439,36.631112
Gaziantep,Nizip,37.009926,37.796949
Gaziantep,Oğuzeli,36.965343,37.510709
Gaziantep,Yavuzeli,37.318254,37.566833
Gaziantep,Şahinbey,36.9907413,37.2115829
Gaziantep,Şehitkamil,37.203126,37.3399768
Gaziantep,Karkamış,36.8358009,37.9953209
Gaziantep,Nurdağı,37.1759879,36.740587
